"caseid","weight","wave","state","district","n7ay23","n7by23","n7cy23","n7dy23","n7ey23","n7fy23","n7gy23","n7hy23","n7iy23","n7ky23","n7ly23","urban","gender","age","caste","n7ay23_recode","n7by23_recode","n7cy23_recode","n7dy23_recode","n7ey23_recode","n7fy23_recode","n7gy23_recode","n7hy23_recode","n7iy23_recode","n7ky23_recode","n7ly23_recode","state_district_survey"
10036,0.74048212924,2024,"UT","Chandigarh","Very worried","Moderately worried","Very worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Rural","Male","18-29","Other Castes",1,0,1,1,0,1,1,1,1,0,1,"UT, Chandigarh"
10037,0.5503583393,2024,"NE","Dimapur","Very worried","Not at all worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Very worried","Not at all worried","Very worried","Very worried","Urban","Male","30-44","Other Castes",1,0,1,1,1,0,1,1,0,1,1,"NE, Dimapur"
10038,0.4502931867,2024,"NE","Peren","Very worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Not at all worried","Very worried","Rural","Male","45+","Other Castes",1,1,1,1,0,0,0,1,0,0,1,"NE, Peren"
10039,0.73047561398,2024,"UT","Chandigarh","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Urban","Male","45+","Other Castes",1,1,1,1,1,1,1,0,1,1,1,"UT, Chandigarh"
10040,0.34022151884,2024,"UT","Chandigarh","Not very worried","Moderately worried","Not at all worried","Moderately worried","Very worried","Not at all worried","Very worried","Not at all worried","Moderately worried","Not very worried","Very worried","Urban","Male","45+","Other Castes",0,0,0,0,1,0,1,0,0,0,1,"UT, Chandigarh"
10041,1.97128350622,2024,"UT","Chandigarh","Not at all worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Moderately worried","Moderately worried","Urban","Male","45+","Other Castes",0,1,0,0,0,0,0,0,0,0,0,"UT, Chandigarh"
10042,0.63041046138,2024,"UT","Chandigarh","Moderately worried","Very worried","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Urban","Male","45+","Other Castes",0,1,0,0,0,0,0,0,0,0,0,"UT, Chandigarh"
10043,0.32020848832,2024,"UT","Chandigarh","Not at all worried","Very worried","Moderately worried","Moderately worried","Very worried","Not at all worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Rural","Male","30-44","Other Castes",0,1,0,0,1,0,1,0,0,0,0,"UT, Chandigarh"
10044,0.59038440034,2024,"Gujarat","Rajkot","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Very worried","Rural","Male","30-44","Other Castes",0,0,0,0,1,0,0,0,1,0,1,"Gujarat, Rajkot"
10045,0.77050167502,2024,"Gujarat","Surat","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Urban","Male","18-29","Other Castes",0,1,1,1,1,1,1,1,1,0,1,"Gujarat, Surat"
10046,0.61039743086,2024,"Gujarat","Surat","Not very worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Not very worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Rural","Female","30-44","Other Castes",0,0,0,0,0,0,0,0,0,0,0,"Gujarat, Surat"
10047,0.33021500358,2024,"Gujarat","Ahmedabad","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Male","45+","Other Castes",1,0,1,1,1,1,1,1,1,1,1,"Gujarat, Ahmedabad"
10048,0.66043000716,2024,"Gujarat","Sabarkantha","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Male","18-29","Scheduled Castes/Tribes",1,1,1,1,0,1,1,1,1,1,1,"Gujarat, Sabarkantha"
10049,1.27082743802,2024,"Gujarat","Bharuch","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","45+","Scheduled Castes/Tribes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Bharuch"
10051,0.47030621722,2024,"Gujarat","Panchmahal","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Female","45+","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Panchmahal"
10053,1.3508795601,2024,"Gujarat","Gandhinagar","Moderately worried","Very worried","Not at all worried","Not at all worried","Very worried","Not at all worried","Moderately worried","Very worried","Moderately worried","Not at all worried","Moderately worried","Urban","Male","45+","Other Castes",0,1,0,0,1,0,0,1,0,0,0,"Gujarat, Gandhinagar"
10054,0.8005212208,2024,"Gujarat","Botad","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Don't know","Very worried","Rural","Male","45+","Other Castes",1,1,0,1,1,1,1,0,1,0,1,"Gujarat, Botad"
10057,0.4502931867,2024,"Gujarat","Rajkot","Not at all worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Not at all worried","Very worried","Very worried","Not at all worried","Urban","Male","30-44","Other Castes",0,1,1,1,1,0,1,0,1,1,0,"Gujarat, Rajkot"
10058,0.8505537971,2024,"Gujarat","Surat","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Rural","Male","30-44","Other Castes",0,0,0,0,0,0,0,0,0,0,0,"Gujarat, Surat"
10059,0.67043652242,2024,"Gujarat","Tapi","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Scheduled Castes/Tribes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Tapi"
10060,0.58037788508,2024,"Gujarat","Narmada","Moderately worried","Moderately worried","Not at all worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Not at all worried","Rural","Male","30-44","Other Castes",0,0,0,1,0,1,1,1,1,0,0,"Gujarat, Narmada"
10061,0.98063849548,2024,"Gujarat","Aravalli","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Urban","Male","45+","Other Castes",1,1,1,0,1,1,0,1,1,1,0,"Gujarat, Aravalli"
10062,0.6504234919,2024,"Gujarat","Bharuch","Moderately worried","Very worried","Very worried","Not at all worried","Moderately worried","Not at all worried","Very worried","Moderately worried","Not at all worried","Very worried","Very worried","Rural","Female","18-29","Scheduled Castes/Tribes",0,1,1,0,0,0,1,0,0,1,1,"Gujarat, Bharuch"
10063,0.67043652242,2024,"Gujarat","Botad","Not at all worried","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Moderately worried","Not at all worried","Moderately worried","Rural","Male","30-44","Scheduled Castes/Tribes",0,0,0,0,0,0,0,0,0,0,0,"Gujarat, Botad"
10064,0.93060591918,2024,"Gujarat","Vadodara","Moderately worried","Very worried","Not at all worried","Moderately worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Not at all worried","Urban","Male","30-44","Other Castes",0,1,0,0,0,0,0,0,0,1,0,"Gujarat, Vadodara"
10065,0.99064501074,2024,"Gujarat","Sabarkantha","Not at all worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Not at all worried","Rural","Male","18-29","Other Castes",0,1,1,1,1,1,0,1,1,1,0,"Gujarat, Sabarkantha"
10066,0.54035182404,2024,"Gujarat","Panchmahal","Moderately worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Not at all worried","Not at all worried","Very worried","Rural","Male","18-29","Scheduled Castes/Tribes",0,1,1,1,1,0,0,1,0,0,1,"Gujarat, Panchmahal"
10067,1.77115320102,2024,"Gujarat","Rajkot","Very worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Very worried","Urban","Male","30-44","Other Castes",1,1,1,1,0,1,0,1,1,1,1,"Gujarat, Rajkot"
10069,0.4502931867,2024,"Gujarat","Botad","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Male","30-44","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Botad"
10070,0.52033879352,2024,"Gujarat","Gir Somnath","Moderately worried","Very worried","Moderately worried","Not at all worried","Moderately worried","Very worried","Very worried","Very worried","Not at all worried","Not at all worried","Very worried","Urban","Male","30-44","Scheduled Castes/Tribes",0,1,0,0,0,1,1,1,0,0,1,"Gujarat, Gir Somnath"
10071,0.83054076658,2024,"Uttar Pradesh","Ghaziabad","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Very worried","Urban","Female","18-29","Other Castes",1,0,1,1,1,1,1,0,0,1,1,"Uttar Pradesh, Ghaziabad"
10072,0.47030621722,2024,"Gujarat","Vadodara","Very worried","Very worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Urban","Female","45+","Scheduled Castes/Tribes",1,1,1,0,1,1,1,1,1,0,1,"Gujarat, Vadodara"
10073,0.67043652242,2024,"Gujarat","Navsari","Moderately worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Not at all worried","Not at all worried","Rural","Male","30-44","Scheduled Castes/Tribes",0,0,1,0,0,0,0,0,0,0,0,"Gujarat, Navsari"
10075,0.42027364092,2024,"Gujarat","Rajkot","Moderately worried","Very worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Very worried","Urban","Female","30-44","Other Castes",0,1,0,0,1,0,0,0,1,0,1,"Gujarat, Rajkot"
10076,0.8505537971,2024,"Gujarat","Valsad","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Other Castes",0,1,1,1,1,1,1,1,1,1,1,"Gujarat, Valsad"
10077,0.8505537971,2024,"Gujarat","Ahmedabad","Not at all worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Moderately worried","Rural","Male","18-29","Scheduled Castes/Tribes",0,1,0,0,0,0,0,0,0,1,0,"Gujarat, Ahmedabad"
10078,0.44028667144,2024,"Gujarat","Surat","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Female","30-44","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Surat"
10079,0.52033879352,2024,"Gujarat","Amreli","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Not at all worried","Urban","Male","45+","Other Castes",1,1,1,1,1,1,1,1,0,1,0,"Gujarat, Amreli"
10081,3.44224124944,2024,"Gujarat","Surendranagar","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Don't know","Not at all worried","Very worried","Not at all worried","Rural","Male","45+","Other Castes",0,0,0,0,0,0,0,0,0,1,0,"Gujarat, Surendranagar"
10082,2.3014985098,2024,"Gujarat","Jamnagar","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Rural","Male","45+","Other Castes",1,1,1,1,1,1,0,0,1,1,1,"Gujarat, Jamnagar"
10083,0.68044303768,2024,"Gujarat","Morbi","Not very worried","Very worried","Not at all worried","Moderately worried","Very worried","Not very worried","Very worried","Very worried","Not very worried","Not very worried","Moderately worried","Rural","Male","45+","Other Castes",0,1,0,0,1,0,1,1,0,0,0,"Gujarat, Morbi"
10084,0.68044303768,2024,"Gujarat","Panchmahal","Not at all worried","Not at all worried","Very worried","Not very worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Rural","Male","30-44","Other Castes",0,0,1,0,0,0,0,0,0,0,1,"Gujarat, Panchmahal"
10085,0.68044303768,2024,"Gujarat","Banaskantha","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Scheduled Castes/Tribes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Banaskantha"
10086,0.41026712566,2024,"Gujarat","Gir Somnath","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Not very worried","Moderately worried","Urban","Male","18-29","Other Castes",1,1,1,1,1,0,0,0,0,0,0,"Gujarat, Gir Somnath"
10087,0.99064501074,2024,"Gujarat","Vadodara","Moderately worried","Moderately worried","Moderately worried","Very worried","Not at all worried","Moderately worried","Very worried","Very worried","Moderately worried","Not at all worried","Moderately worried","Rural","Male","18-29","Other Castes",0,0,0,1,0,0,1,1,0,0,0,"Gujarat, Vadodara"
10088,0.74048212924,2024,"Gujarat","Surendranagar","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Surendranagar"
10090,0.68044303768,2024,"Gujarat","Sabarkantha","Very worried","Moderately worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Very worried","Very worried","Moderately worried","Very worried","Rural","Male","45+","Scheduled Castes/Tribes",1,0,0,0,0,0,0,1,1,0,1,"Gujarat, Sabarkantha"
10091,0.99064501074,2024,"Gujarat","Vadodara","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","18-29","Scheduled Castes/Tribes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Vadodara"
10092,1.83119229258,2024,"Gujarat","Junagadh","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Other Castes",1,1,0,0,1,1,1,1,1,1,1,"Gujarat, Junagadh"
10093,0.54035182404,2024,"Gujarat","Banaskantha","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Banaskantha"
10094,0.8505537971,2024,"Gujarat","Rajkot","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Rural","Male","30-44","Other Castes",1,1,1,1,0,1,1,1,1,0,1,"Gujarat, Rajkot"
10095,1.41091865166,2024,"Gujarat","Porbandar","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Male","45+","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Porbandar"
10096,0.59038440034,2024,"Gujarat","Banaskantha","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Scheduled Castes/Tribes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Banaskantha"
10097,1.09071016334,2024,"Uttar Pradesh","Mau","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Female","18-29","Other Castes",1,1,0,1,0,0,1,1,1,1,1,"Uttar Pradesh, Mau"
10098,1.34087304484,2024,"Gujarat","Mahisagar","Moderately worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Very worried","Not at all worried","Not at all worried","Rural","Male","45+","Other Castes",0,1,1,1,1,0,0,1,1,0,0,"Gujarat, Mahisagar"
10100,4.27278201602,2024,"Gujarat","Surat","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Urban","Male","18-29","Other Castes",1,1,1,1,1,1,1,1,1,0,1,"Gujarat, Surat"
10101,0.94061243444,2024,"Gujarat","Ahmedabad","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Urban","Male","30-44","Other Castes",1,1,1,0,1,1,1,1,1,1,0,"Gujarat, Ahmedabad"
10102,0.68044303768,2024,"Gujarat","Junagadh","Not at all worried","Moderately worried","Not at all worried","Very worried","Not very worried","Very worried","Not very worried","Not at all worried","Not very worried","Very worried","Not at all worried","Rural","Male","30-44","Other Castes",0,0,0,1,0,1,0,0,0,1,0,"Gujarat, Junagadh"
10103,0.61039743086,2024,"Uttar Pradesh","Farrukhabad","Very worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Female","18-29","Other Castes",1,1,1,1,0,0,1,1,1,1,1,"Uttar Pradesh, Farrukhabad"
10104,0.58037788508,2024,"Gujarat","Botad","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Rural","Male","30-44","Other Castes",1,1,1,1,0,1,1,0,1,1,0,"Gujarat, Botad"
10105,0.68044303768,2024,"Gujarat","Sabarkantha","Very worried","Moderately worried","Not very worried","Very worried","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Very worried","Not very worried","Very worried","Rural","Male","30-44","Other Castes",1,0,0,1,0,0,0,0,1,0,1,"Gujarat, Sabarkantha"
10106,0.67043652242,2024,"Gujarat","Morbi","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Morbi"
10107,0.61039743086,2024,"Gujarat","Panchmahal","Very worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Urban","Male","45+","Other Castes",1,0,0,0,0,0,0,0,0,0,0,"Gujarat, Panchmahal"
10108,0.43028015618,2024,"Gujarat","Ahmedabad","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Rural","Male","30-44","Other Castes",1,1,1,0,0,1,0,1,1,0,1,"Gujarat, Ahmedabad"
