"caseid","weight","wave","state","district","state_district","gender","age","caste","urban","n7ky23","n7ky23_recode"
10035,0.500325763,"2024","NE","Dimapur","NE, Dimapur","Male","45+","Other Castes","Urban","Moderately worried",0
10036,0.74048212924,"2024","UT","Chandigarh","UT, Chandigarh","Male","18-29","Other Castes","Rural","Moderately worried",0
10037,0.5503583393,"2024","NE","Dimapur","NE, Dimapur","Male","30-44","Other Castes","Urban","Very worried",1
10038,0.4502931867,"2024","NE","Peren","NE, Peren","Male","45+","Other Castes","Rural","Not at all worried",0
10039,0.73047561398,"2024","UT","Chandigarh","UT, Chandigarh","Male","45+","Other Castes","Urban","Very worried",1
10040,0.34022151884,"2024","UT","Chandigarh","UT, Chandigarh","Male","45+","Other Castes","Urban","Not very worried",0
10041,1.97128350622,"2024","UT","Chandigarh","UT, Chandigarh","Male","45+","Other Castes","Urban","Moderately worried",0
10042,0.63041046138,"2024","UT","Chandigarh","UT, Chandigarh","Male","45+","Other Castes","Urban","Moderately worried",0
10043,0.32020848832,"2024","UT","Chandigarh","UT, Chandigarh","Male","30-44","Other Castes","Rural","Not at all worried",0
10044,0.59038440034,"2024","Gujarat","Rajkot","Gujarat, Rajkot","Male","30-44","Other Castes","Rural","Moderately worried",0
10045,0.77050167502,"2024","Gujarat","Surat","Gujarat, Surat","Male","18-29","Other Castes","Urban","Moderately worried",0
10046,0.61039743086,"2024","Gujarat","Surat","Gujarat, Surat","Female","30-44","Other Castes","Rural","Moderately worried",0
10047,0.33021500358,"2024","Gujarat","Ahmedabad","Gujarat, Ahmedabad","Male","45+","Other Castes","Urban","Very worried",1
10048,0.66043000716,"2024","Gujarat","Sabarkantha","Gujarat, Sabarkantha","Male","18-29","Scheduled Castes/Tribes","Urban","Very worried",1
10049,1.27082743802,"2024","Gujarat","Bharuch","Gujarat, Bharuch","Male","45+","Scheduled Castes/Tribes","Rural","Very worried",1
10051,0.47030621722,"2024","Gujarat","Panchmahal","Gujarat, Panchmahal","Female","45+","Other Castes","Urban","Very worried",1
10053,1.3508795601,"2024","Gujarat","Gandhinagar","Gujarat, Gandhinagar","Male","45+","Other Castes","Urban","Not at all worried",0
10054,0.8005212208,"2024","Gujarat","Botad","Gujarat, Botad","Male","45+","Other Castes","Rural","Don't know",0
10057,0.4502931867,"2024","Gujarat","Rajkot","Gujarat, Rajkot","Male","30-44","Other Castes","Urban","Very worried",1
10058,0.8505537971,"2024","Gujarat","Surat","Gujarat, Surat","Male","30-44","Other Castes","Rural","Moderately worried",0
10059,0.67043652242,"2024","Gujarat","Tapi","Gujarat, Tapi","Male","30-44","Scheduled Castes/Tribes","Rural","Very worried",1
10060,0.58037788508,"2024","Gujarat","Narmada","Gujarat, Narmada","Male","30-44","Other Castes","Rural","Moderately worried",0
10061,0.98063849548,"2024","Gujarat","Aravalli","Gujarat, Aravalli","Male","45+","Other Castes","Urban","Very worried",1
10062,0.6504234919,"2024","Gujarat","Bharuch","Gujarat, Bharuch","Female","18-29","Scheduled Castes/Tribes","Rural","Very worried",1
10063,0.67043652242,"2024","Gujarat","Botad","Gujarat, Botad","Male","30-44","Scheduled Castes/Tribes","Rural","Not at all worried",0
10064,0.93060591918,"2024","Gujarat","Vadodara","Gujarat, Vadodara","Male","30-44","Other Castes","Urban","Very worried",1
10065,0.99064501074,"2024","Gujarat","Sabarkantha","Gujarat, Sabarkantha","Male","18-29","Other Castes","Rural","Very worried",1
10066,0.54035182404,"2024","Gujarat","Panchmahal","Gujarat, Panchmahal","Male","18-29","Scheduled Castes/Tribes","Rural","Not at all worried",0
10067,1.77115320102,"2024","Gujarat","Rajkot","Gujarat, Rajkot","Male","30-44","Other Castes","Urban","Very worried",1
10069,0.4502931867,"2024","Gujarat","Botad","Gujarat, Botad","Male","30-44","Other Castes","Urban","Very worried",1
10070,0.52033879352,"2024","Gujarat","Gir Somnath","Gujarat, Gir Somnath","Male","30-44","Scheduled Castes/Tribes","Urban","Not at all worried",0
10071,0.83054076658,"2024","Uttar Pradesh","Ghaziabad","Uttar Pradesh, Ghaziabad","Female","18-29","Other Castes","Urban","Very worried",1
10072,0.47030621722,"2024","Gujarat","Vadodara","Gujarat, Vadodara","Female","45+","Scheduled Castes/Tribes","Urban","Moderately worried",0
10073,0.67043652242,"2024","Gujarat","Navsari","Gujarat, Navsari","Male","30-44","Scheduled Castes/Tribes","Rural","Not at all worried",0
10075,0.42027364092,"2024","Gujarat","Rajkot","Gujarat, Rajkot","Female","30-44","Other Castes","Urban","Moderately worried",0
10076,0.8505537971,"2024","Gujarat","Valsad","Gujarat, Valsad","Male","30-44","Other Castes","Rural","Very worried",1
10077,0.8505537971,"2024","Gujarat","Ahmedabad","Gujarat, Ahmedabad","Male","18-29","Scheduled Castes/Tribes","Rural","Very worried",1
10078,0.44028667144,"2024","Gujarat","Surat","Gujarat, Surat","Female","30-44","Other Castes","Rural","Very worried",1
10079,0.52033879352,"2024","Gujarat","Amreli","Gujarat, Amreli","Male","45+","Other Castes","Urban","Very worried",1
10081,3.44224124944,"2024","Gujarat","Surendranagar","Gujarat, Surendranagar","Male","45+","Other Castes","Rural","Very worried",1
10082,2.3014985098,"2024","Gujarat","Jamnagar","Gujarat, Jamnagar","Male","45+","Other Castes","Rural","Very worried",1
10083,0.68044303768,"2024","Gujarat","Morbi","Gujarat, Morbi","Male","45+","Other Castes","Rural","Not very worried",0
10084,0.68044303768,"2024","Gujarat","Panchmahal","Gujarat, Panchmahal","Male","30-44","Other Castes","Rural","Not at all worried",0
10085,0.68044303768,"2024","Gujarat","Banaskantha","Gujarat, Banaskantha","Male","30-44","Scheduled Castes/Tribes","Rural","Very worried",1
10086,0.41026712566,"2024","Gujarat","Gir Somnath","Gujarat, Gir Somnath","Male","18-29","Other Castes","Urban","Not very worried",0
10087,0.99064501074,"2024","Gujarat","Vadodara","Gujarat, Vadodara","Male","18-29","Other Castes","Rural","Not at all worried",0
10088,0.74048212924,"2024","Gujarat","Surendranagar","Gujarat, Surendranagar","Male","30-44","Other Castes","Rural","Very worried",1
10090,0.68044303768,"2024","Gujarat","Sabarkantha","Gujarat, Sabarkantha","Male","45+","Scheduled Castes/Tribes","Rural","Moderately worried",0
10091,0.99064501074,"2024","Gujarat","Vadodara","Gujarat, Vadodara","Male","18-29","Scheduled Castes/Tribes","Rural","Very worried",1
10092,1.83119229258,"2024","Gujarat","Junagadh","Gujarat, Junagadh","Male","30-44","Other Castes","Rural","Very worried",1
10093,0.54035182404,"2024","Gujarat","Banaskantha","Gujarat, Banaskantha","Male","30-44","Other Castes","Rural","Very worried",1
10094,0.8505537971,"2024","Gujarat","Rajkot","Gujarat, Rajkot","Male","30-44","Other Castes","Rural","Moderately worried",0
10095,1.41091865166,"2024","Gujarat","Porbandar","Gujarat, Porbandar","Male","45+","Other Castes","Urban","Very worried",1
10096,0.59038440034,"2024","Gujarat","Banaskantha","Gujarat, Banaskantha","Male","30-44","Scheduled Castes/Tribes","Rural","Very worried",1
10097,1.09071016334,"2024","Uttar Pradesh","Mau","Uttar Pradesh, Mau","Female","18-29","Other Castes","Rural","Very worried",1
10098,1.34087304484,"2024","Gujarat","Mahisagar","Gujarat, Mahisagar","Male","45+","Other Castes","Rural","Not at all worried",0
10100,4.27278201602,"2024","Gujarat","Surat","Gujarat, Surat","Male","18-29","Other Castes","Urban","Not at all worried",0
10101,0.94061243444,"2024","Gujarat","Ahmedabad","Gujarat, Ahmedabad","Male","30-44","Other Castes","Urban","Very worried",1
10102,0.68044303768,"2024","Gujarat","Junagadh","Gujarat, Junagadh","Male","30-44","Other Castes","Rural","Very worried",1
10103,0.61039743086,"2024","Uttar Pradesh","Farrukhabad","Uttar Pradesh, Farrukhabad","Female","18-29","Other Castes","Urban","Very worried",1
10104,0.58037788508,"2024","Gujarat","Botad","Gujarat, Botad","Male","30-44","Other Castes","Rural","Very worried",1
10105,0.68044303768,"2024","Gujarat","Sabarkantha","Gujarat, Sabarkantha","Male","30-44","Other Castes","Rural","Not very worried",0
10106,0.67043652242,"2024","Gujarat","Morbi","Gujarat, Morbi","Male","30-44","Other Castes","Rural","Very worried",1
10107,0.61039743086,"2024","Gujarat","Panchmahal","Gujarat, Panchmahal","Male","45+","Other Castes","Urban","Moderately worried",0
10108,0.43028015618,"2024","Gujarat","Ahmedabad","Gujarat, Ahmedabad","Male","30-44","Other Castes","Rural","Moderately worried",0
10109,0.77050167502,"2024","Gujarat","Jamnagar","Gujarat, Jamnagar","Female","18-29","Other Castes","Rural","Very worried",1
10111,0.99064501074,"2024","Gujarat","Bhavnagar","Gujarat, Bhavnagar","Male","18-29","Scheduled Castes/Tribes","Rural","Very worried",1
10112,0.99064501074,"2024","Gujarat","Patan","Gujarat, Patan","Male","18-29","Scheduled Castes/Tribes","Rural","Not at all worried",0
10113,0.68044303768,"2024","Gujarat","Rajkot","Gujarat, Rajkot","Male","30-44","Other Castes","Rural","Very worried",1
10114,1.07069713282,"2024","Uttar Pradesh","Bareilly","Uttar Pradesh, Bareilly","Female","45+","Other Castes","Urban","Not at all worried",0
10115,0.68044303768,"2024","Gujarat","Kutch","Gujarat, Kutch","Male","45+","Scheduled Castes/Tribes","Rural","Very worried",1
10116,0.8505537971,"2024","Gujarat","Chhota Udaipur","Gujarat, Chhota Udaipur","Male","18-29","Scheduled Castes/Tribes","Rural","Very worried",1
10117,0.68044303768,"2024","Gujarat","Amreli","Gujarat, Amreli","Male","45+","Other Castes","Rural","Very worried",1
10118,1.62105547212,"2024","Gujarat","Jamnagar","Gujarat, Jamnagar","Male","45+","Other Castes","Urban","Very worried",1
10119,0.46029970196,"2024","Gujarat","Gir Somnath","Gujarat, Gir Somnath","Female","30-44","Other Castes","Urban","Very worried",1
10120,0.46029970196,"2024","Gujarat","Vadodara","Gujarat, Vadodara","Female","30-44","Scheduled Castes/Tribes","Urban","Very worried",1
10121,1.22079486172,"2024","Gujarat","Panchmahal","Gujarat, Panchmahal","Female","30-44","Other Castes","Urban","Not at all worried",0
10122,1.07069713282,"2024","Uttar Pradesh","Etah","Uttar Pradesh, Etah","Female","45+","Other Castes","Urban","Not at all worried",0
10123,0.46029970196,"2024","Gujarat","Ahmedabad","Gujarat, Ahmedabad","Female","30-44","Other Castes","Urban","Moderately worried",0
10124,0.89057985814,"2024","Gujarat","Ahmedabad","Gujarat, Ahmedabad","Female","18-29","Other Castes","Rural","Not at all worried",0
10125,0.46029970196,"2024","Gujarat","Ahmedabad","Gujarat, Ahmedabad","Female","45+","Other Castes","Urban","Very worried",1
10127,0.34022151884,"2024","Gujarat","Gandhinagar","Gujarat, Gandhinagar","Female","30-44","Other Castes","Urban","Not at all worried",0
10128,1.4509447127,"2024","Gujarat","Porbandar","Gujarat, Porbandar","Female","45+","Other Castes","Urban","Not at all worried",0
10129,1.32086001432,"2024","Gujarat","Valsad","Gujarat, Valsad","Female","45+","Other Castes","Rural","Moderately worried",0
10130,0.69044955294,"2024","Gujarat","Surat","Gujarat, Surat","Female","30-44","Scheduled Castes/Tribes","Rural","Moderately worried",0
10131,0.9005863734,"2024","Gujarat","Bhavnagar","Gujarat, Bhavnagar","Female","18-29","Other Castes","Rural","Not at all worried",0
10132,0.89057985814,"2024","Gujarat","Banaskantha","Gujarat, Banaskantha","Female","18-29","Other Castes","Rural","Very worried",1
10133,0.54035182404,"2024","Gujarat","Surat","Gujarat, Surat","Female","30-44","Other Castes","Urban","Not at all worried",0
10134,0.53034530878,"2024","Gujarat","Bhavnagar","Gujarat, Bhavnagar","Female","45+","Other Castes","Urban","Very worried",1
10135,0.34022151884,"2024","Gujarat","Porbandar","Gujarat, Porbandar","Female","45+","Other Castes","Urban","Very worried",1
10136,2.6016939676,"2024","Uttar Pradesh","Varanasi","Uttar Pradesh, Varanasi","Female","30-44","Other Castes","Urban","Moderately worried",0
10137,0.97063198022,"2024","Gujarat","Vadodara","Gujarat, Vadodara","Female","30-44","Other Castes","Urban","Moderately worried",0
10138,0.89057985814,"2024","Gujarat","Anand","Gujarat, Anand","Female","18-29","Other Castes","Rural","Very worried",1
10139,1.09071016334,"2024","Uttar Pradesh","Bareilly","Uttar Pradesh, Bareilly","Female","30-44","Other Castes","Rural","Moderately worried",0
10140,1.18076880068,"2024","Uttar Pradesh","Bijnor","Uttar Pradesh, Bijnor","Female","30-44","Other Castes","Urban","Very worried",1
10141,0.73047561398,"2024","Uttar Pradesh","Kanpur Nagar","Uttar Pradesh, Kanpur Nagar","Female","30-44","Other Castes","Urban","Very worried",1
10142,2.06134214356,"2024","Uttar Pradesh","Ghaziabad","Uttar Pradesh, Ghaziabad","Female","30-44","Other Castes","Urban","Moderately worried",0
10143,3.03197412378,"2024","Uttar Pradesh","Saharanpur","Uttar Pradesh, Saharanpur","Female","18-29","Other Castes","Urban","Moderately worried",0
10144,0.87056682762,"2024","Uttar Pradesh","Allahabad","Uttar Pradesh, Allahabad","Female","30-44","Other Castes","Rural","Moderately worried",0
10145,1.26082092276,"2024","Uttar Pradesh","Sitapur","Uttar Pradesh, Sitapur","Female","18-29","Other Castes","Rural","Very worried",1
10146,0.84054728184,"2024","Uttar Pradesh","Jhansi","Uttar Pradesh, Jhansi","Female","30-44","Other Castes","Urban","Moderately worried",0
10147,0.83054076658,"2024","Uttar Pradesh","Ghaziabad","Uttar Pradesh, Ghaziabad","Female","30-44","Other Castes","Urban","Very worried",1
10148,0.54035182404,"2024","Uttar Pradesh","Kannauj","Uttar Pradesh, Kannauj","Female","45+","Other Castes","Rural","Very worried",1
10149,1.19077531594,"2024","Uttar Pradesh","Meerut","Uttar Pradesh, Meerut","Female","30-44","Other Castes","Urban","Not very worried",0
10150,0.87056682762,"2024","Uttar Pradesh","Varanasi","Uttar Pradesh, Varanasi","Female","30-44","Other Castes","Rural","Very worried",1
10151,0.66043000716,"2024","Uttar Pradesh","Bareilly","Uttar Pradesh, Bareilly","Female","30-44","Scheduled Castes/Tribes","Urban","Moderately worried",0
10155,0.79051470554,"2024","Uttar Pradesh","Lucknow","Uttar Pradesh, Lucknow","Female","45+","Other Castes","Urban","Not at all worried",0
10157,1.23080137698,"2024","Uttar Pradesh","Balrampur","Uttar Pradesh, Balrampur","Female","45+","Scheduled Castes/Tribes","Urban","Not very worried",0
10158,0.42027364092,"2024","Uttar Pradesh","Jaunpur","Uttar Pradesh, Jaunpur","Female","45+","Other Castes","Urban","Not at all worried",0
10159,0.7504886445,"2024","Uttar Pradesh","Bulandshahr","Uttar Pradesh, Bulandshahr","Female","45+","Other Castes","Rural","Moderately worried",0
10160,0.67043652242,"2024","Uttar Pradesh","Bareilly","Uttar Pradesh, Bareilly","Female","45+","Other Castes","Urban","Not at all worried",0
10161,0.9506189497,"2024","Uttar Pradesh","Ghazipur","Uttar Pradesh, Ghazipur","Female","18-29","Scheduled Castes/Tribes","Rural","Moderately worried",0
10162,1.09071016334,"2024","Uttar Pradesh","Pratapgarh","Uttar Pradesh, Pratapgarh","Female","18-29","Other Castes","Rural","Very worried",1
10163,0.8505537971,"2024","Uttar Pradesh","Budaun","Uttar Pradesh, Budaun","Female","18-29","Other Castes","Urban","Moderately worried",0
10164,1.56101638056,"2024","Uttar Pradesh","Bahraich","Uttar Pradesh, Bahraich","Female","30-44","Other Castes","Rural","Very worried",1
10165,1.51098380426,"2024","Uttar Pradesh","Rampur","Uttar Pradesh, Rampur","Female","30-44","Other Castes","Urban","Very worried",1
10166,0.73047561398,"2024","Uttar Pradesh","Kanpur Dehat (Ramabai Nagar)","Uttar Pradesh, Kanpur Dehat (Ramabai Nagar)","Female","18-29","Scheduled Castes/Tribes","Urban","Not very worried",0
10167,0.58037788508,"2024","Uttar Pradesh","Ghazipur","Uttar Pradesh, Ghazipur","Female","30-44","Other Castes","Urban","Very worried",1
10169,0.87056682762,"2024","Uttar Pradesh","Banda","Uttar Pradesh, Banda","Female","45+","Other Castes","Rural","Moderately worried",0
10170,1.28083395328,"2024","Uttar Pradesh","Bareilly","Uttar Pradesh, Bareilly","Female","18-29","Other Castes","Rural","Very worried",1
10171,1.26082092276,"2024","Uttar Pradesh","Ambedkar Nagar","Uttar Pradesh, Ambedkar Nagar","Female","18-29","Other Castes","Rural","Moderately worried",0
10172,2.94191548644,"2024","Uttar Pradesh","Barabanki","Uttar Pradesh, Barabanki","Female","30-44","Other Castes","Rural","Very worried",1
10174,1.26082092276,"2024","Uttar Pradesh","Basti","Uttar Pradesh, Basti","Female","18-29","Other Castes","Rural","Very worried",1
10175,0.84054728184,"2024","Uttar Pradesh","Chandauli","Uttar Pradesh, Chandauli","Female","18-29","Other Castes","Urban","Very worried",1
10176,1.19077531594,"2024","Uttar Pradesh","Saharanpur","Uttar Pradesh, Saharanpur","Female","30-44","Other Castes","Urban","Very worried",1
10177,0.53034530878,"2024","Uttar Pradesh","Farrukhabad","Uttar Pradesh, Farrukhabad","Female","30-44","Other Castes","Urban","Moderately worried",0
10178,0.66043000716,"2024","Uttar Pradesh","Saharanpur","Uttar Pradesh, Saharanpur","Female","30-44","Other Castes","Urban","Very worried",1
10179,0.66043000716,"2024","Uttar Pradesh","Shahjahanpur","Uttar Pradesh, Shahjahanpur","Female","30-44","Other Castes","Urban","Very worried",1
10180,0.66043000716,"2024","Uttar Pradesh","Agra","Uttar Pradesh, Agra","Female","45+","Other Castes","Urban","Very worried",1
10181,1.18076880068,"2024","Uttar Pradesh","Azamgarh","Uttar Pradesh, Azamgarh","Female","30-44","Other Castes","Urban","Very worried",1
10182,0.69044955294,"2024","Uttar Pradesh","Ambedkar Nagar","Uttar Pradesh, Ambedkar Nagar","Female","30-44","Other Castes","Rural","Very worried",1
10183,0.53034530878,"2024","Uttar Pradesh","Hapur (Panchsheel Nagar)","Uttar Pradesh, Hapur (Panchsheel Nagar)","Female","30-44","Other Castes","Urban","Very worried",1
10184,2.63171351338,"2024","Uttar Pradesh","Meerut","Uttar Pradesh, Meerut","Female","18-29","Other Castes","Urban","Moderately worried",0
10185,1.28083395328,"2024","Uttar Pradesh","Hardoi","Uttar Pradesh, Hardoi","Female","18-29","Scheduled Castes/Tribes","Rural","Very worried",1
10186,1.07069713282,"2024","Uttar Pradesh","Lucknow","Uttar Pradesh, Lucknow","Female","45+","Other Castes","Urban","Moderately worried",0
10187,1.2508144075,"2024","Uttar Pradesh","Aligarh","Uttar Pradesh, Aligarh","Female","45+","Other Castes","Urban","Very worried",1
10188,1.08070364808,"2024","Uttar Pradesh","Ghazipur","Uttar Pradesh, Ghazipur","Female","18-29","Other Castes","Rural","Not at all worried",0
10189,0.66043000716,"2024","Uttar Pradesh","Kanpur Nagar","Uttar Pradesh, Kanpur Nagar","Female","45+","Other Castes","Urban","Not at all worried",0
10190,3.9525735277,"2024","Uttar Pradesh","Agra","Uttar Pradesh, Agra","Female","18-29","Other Castes","Rural","Moderately worried",0
10191,0.69044955294,"2024","Uttar Pradesh","Hardoi","Uttar Pradesh, Hardoi","Female","18-29","Other Castes","Rural","Very worried",1
10193,0.7504886445,"2024","Uttar Pradesh","Ballia","Uttar Pradesh, Ballia","Female","30-44","Other Castes","Rural","Moderately worried",0
10194,0.57037136982,"2024","Uttar Pradesh","Bagpat","Uttar Pradesh, Bagpat","Female","45+","Other Castes","Urban","Moderately worried",0
10195,1.08070364808,"2024","Uttar Pradesh","Ballia","Uttar Pradesh, Ballia","Female","30-44","Other Castes","Rural","Very worried",1
10196,0.72046909872,"2024","Uttar Pradesh","Bulandshahr","Uttar Pradesh, Bulandshahr","Female","18-29","Other Castes","Urban","Not very worried",0
10197,0.58037788508,"2024","Uttar Pradesh","Aligarh","Uttar Pradesh, Aligarh","Female","30-44","Other Castes","Urban","Very worried",1
10198,0.7504886445,"2024","Uttar Pradesh","Auraiya","Uttar Pradesh, Auraiya","Female","45+","Other Castes","Rural","Not at all worried",0
10199,1.2508144075,"2024","Uttar Pradesh","Jyotiba Phule Nagar","Uttar Pradesh, Jyotiba Phule Nagar","Female","45+","Other Castes","Urban","Not at all worried",0
10200,0.87056682762,"2024","Uttar Pradesh","Sant Kabir Nagar","Uttar Pradesh, Sant Kabir Nagar","Female","30-44","Other Castes","Rural","Not at all worried",0
10201,0.81052773606,"2024","Uttar Pradesh","Raebareli","Uttar Pradesh, Raebareli","Female","18-29","Other Castes","Rural","Moderately worried",0
10202,1.28083395328,"2024","Uttar Pradesh","Chandauli","Uttar Pradesh, Chandauli","Female","18-29","Other Castes","Rural","Not very worried",0
10203,0.67043652242,"2024","Uttar Pradesh","Moradabad","Uttar Pradesh, Moradabad","Female","45+","Other Castes","Urban","Not very worried",0
10204,0.87056682762,"2024","Uttar Pradesh","Sitapur","Uttar Pradesh, Sitapur","Female","45+","Scheduled Castes/Tribes","Rural","Very worried",1
10205,6.16401340016,"2024","Uttar Pradesh","Azamgarh","Uttar Pradesh, Azamgarh","Female","18-29","Other Castes","Rural","Very worried",1
10206,0.7504886445,"2024","Uttar Pradesh","Allahabad","Uttar Pradesh, Allahabad","Female","30-44","Other Castes","Rural","Very worried",1
10208,1.0506841023,"2024","Uttar Pradesh","Bareilly","Uttar Pradesh, Bareilly","Female","18-29","Other Castes","Rural","Moderately worried",0
10209,2.07134865882,"2024","Uttar Pradesh","Gonda","Uttar Pradesh, Gonda","Female","45+","Other Castes","Urban","Not at all worried",0
10210,0.5503583393,"2024","Uttar Pradesh","Faizabad","Uttar Pradesh, Faizabad","Female","45+","Scheduled Castes/Tribes","Rural","Very worried",1
10211,1.1007166786,"2024","Uttar Pradesh","Gautam Buddh Nagar","Uttar Pradesh, Gautam Buddh Nagar","Female","18-29","Other Castes","Rural","Very worried",1
10212,0.42027364092,"2024","Uttar Pradesh","Kanpur Nagar","Uttar Pradesh, Kanpur Nagar","Female","45+","Other Castes","Urban","Very worried",1
10213,1.1007166786,"2024","Uttar Pradesh","Gonda","Uttar Pradesh, Gonda","Female","18-29","Other Castes","Rural","Very worried",1
10214,0.8505537971,"2024","Uttar Pradesh","Saharanpur","Uttar Pradesh, Saharanpur","Female","18-29","Other Castes","Urban","Very worried",1
10215,1.09071016334,"2024","Uttar Pradesh","Kanpur Dehat (Ramabai Nagar)","Uttar Pradesh, Kanpur Dehat (Ramabai Nagar)","Female","30-44","Scheduled Castes/Tribes","Rural","Not at all worried",0
10216,1.28083395328,"2024","Uttar Pradesh","Kushinagar","Uttar Pradesh, Kushinagar","Female","18-29","Scheduled Castes/Tribes","Rural","Very worried",1
10217,0.66043000716,"2024","Uttar Pradesh","Agra","Uttar Pradesh, Agra","Female","45+","Other Castes","Urban","Moderately worried",0
10218,0.61039743086,"2024","Uttar Pradesh","Agra","Uttar Pradesh, Agra","Female","18-29","Other Castes","Urban","Very worried",1
10219,0.61039743086,"2024","Uttar Pradesh","Banda","Uttar Pradesh, Banda","Female","18-29","Other Castes","Urban","Very worried",1
10220,1.28083395328,"2024","Uttar Pradesh","Budaun","Uttar Pradesh, Budaun","Female","18-29","Other Castes","Rural","Moderately worried",0
10221,4.82314035532,"2024","Uttar Pradesh","Fatehpur","Uttar Pradesh, Fatehpur","Female","30-44","Other Castes","Rural","Moderately worried",0
10222,1.23080137698,"2024","Uttar Pradesh","Jyotiba Phule Nagar","Uttar Pradesh, Jyotiba Phule Nagar","Female","45+","Other Castes","Urban","Moderately worried",0
10224,1.26082092276,"2024","Uttar Pradesh","Sonbhadra","Uttar Pradesh, Sonbhadra","Female","18-29","Scheduled Castes/Tribes","Rural","Moderately worried",0
10225,0.42027364092,"2024","Uttar Pradesh","Jhansi","Uttar Pradesh, Jhansi","Female","45+","Other Castes","Urban","Not at all worried",0
10227,0.42027364092,"2024","Uttar Pradesh","Allahabad","Uttar Pradesh, Allahabad","Female","45+","Other Castes","Urban","Very worried",1
10228,0.86056031236,"2024","Uttar Pradesh","Muzaffarnagar","Uttar Pradesh, Muzaffarnagar","Female","45+","Other Castes","Rural","Moderately worried",0
10229,0.68044303768,"2024","Uttar Pradesh","Agra","Uttar Pradesh, Agra","Female","30-44","Other Castes","Rural","Not at all worried",0
10230,3.39220867314,"2024","Uttar Pradesh","Fatehpur","Uttar Pradesh, Fatehpur","Female","18-29","Other Castes","Rural","Very worried",1
